Pabrik,Seri,Tahun,newold,Warna,Jarak,Tipe,Pintu,Kursi,CC,Daerah,Harga
Daihatsu,Sirion 1.3 D FMC Hatchback,2013,Bekas,Putih,98000 KM,Manual,5,5,1298,Yogyakarta,78000000
Honda,Jazz 1.5 RS Hatchback,2013,Bekas,Hitam,60 - 65K KM,Automatic,5,5,1496,DKI Jakarta,165000000
Toyota,Yaris 1.5 E Hatchback,2013,Bekas,Putih,130 - 135K KM,Manual,5,5,1497,Jawa Timur,129900000
Mazda,2 1.5 R Hatchback,2013,Bekas,Putih,140000 KM,Automatic,5,5,1498,Jawa Timur,125000000
Mercedes-Benz,C200 1.8 CGI Avantgarde Sedan,2013,Bekas,Hitam,25 - 30K KM,Automatic,4,5,1796,DKI Jakarta,256000000
Mercedes-Benz,C250 1.8 CGI Sedan,2013,Bekas,Hitam,40 - 45K KM,Automatic,4,5,1796,DKI Jakarta,300000000
Mitsubishi,Outlander Sport 2.0 PX SUV,2013,Bekas,Hitam,175 - 180K KM,Automatic,5,5,1998,Jawa Timur,169000000
Land,Rover Range Rover Evoque 2.0 Dynamic Luxury Si4 SUV,2013,Bekas,Putih,35 - 40K KM,Automatic,5,5,1999,DKI Jakarta,480000000
Honda,CR-V 2.4 2.4 SUV,2013,Bekas,Putih,112500 KM,Automatic,5,5,2354,DKI Jakarta,179000000
Honda,CR-V 2.4 2.4 SUV,2013,Bekas,Putih,150 - 155K KM,Automatic,5,5,2354,Jawa Timur,195000000
Honda,CR-V 2.4 2.4 Prestige SUV,2013,Bekas,Putih,95 - 100K KM,Automatic,5,5,2354,Jawa Timur,210000000
Mazda,CX-5 2.5 Touring SUV,2013,Bekas,Putih,79000 KM,Automatic,5,5,2488,Banten,198500000
Mazda,CX-5 2.5 Touring SUV,2013,Bekas,Putih,95 - 100K KM,Automatic,5,5,2488,Yogyakarta,245000000
BMW,640i 3.0 Gran Coupe,2013,Bekas,Putih,10 - 15K KM,Automatic,4,5,2979,DKI Jakarta,692000000
Jaguar,XF 3.0 Premium Luxury Sedan,2013,Bekas,Putih,25 - 30K KM,Automatic,4,5,2995,Banten,447000000
Mercedes-Benz,S350 L 3.5 CGI Sedan,2013,Bekas,Hitam,55 - 60K KM,Automatic,4,5,3498,DKI Jakarta,495000000
Volkswagen,Scirocco 1.4 TSI Hatchback,2013,Bekas,Putih,40 - 45K KM,Automatic,3,4,1390,DKI Jakarta,355000000
Mercedes-Benz,E250 2.0 AMG Coupe,2013,Bekas,Putih,30 - 35K KM,Automatic,2,4,1991,DKI Jakarta,725000000
Jeep,Wrangler 3.6 Rubicon SUV,2013,Bekas,Hijau,45 - 50K KM,Automatic,2,4,3604,DKI Jakarta,965000000
Porsche,Cayman 2.7 Coupe,2013,Bekas,Putih,10 - 15K KM,Automatic,2,2,2706,Jawa Timur,1350000000
Porsche,Boxster 2.7 Convertible,2013,Bekas,Kuning,20 - 25K KM,Automatic,2,2,2706,Kalimantan Barat,1550000000
Toyota,Kijang Innova 2.0 G MPV,2014,Bekas,Silver,135 - 140K KM,Automatic,5,8,1998,DKI Jakarta,185000000
Toyota,Kijang Innova 2.5 G MPV,2014,Bekas,Hitam,155 - 160K KM,Automatic,5,8,2494,Jawa Timur,249000000
Toyota,Fortuner 2.5 G TRD SUV,2014,Bekas,Putih,185 - 190K KM,Automatic,5,7,142,Jawa Timur,280000000
Toyota,Fortuner 2.5 G SUV,2014,Bekas,Hitam,95 - 100K KM,Automatic,5,7,142,Jawa Barat,280000000
Toyota,Fortuner 2.5 G SUV,2014,Bekas,Hitam,95 - 100K KM,Automatic,5,7,142,DKI Jakarta,285000000
Toyota,Fortuner 2.5 G SUV,2014,Bekas,Hitam,95 - 100K KM,Automatic,5,7,142,DKI Jakarta,285000000
Toyota,Fortuner 2.5 G SUV,2014,Bekas,Hitam,95 - 100K KM,Automatic,5,7,142,DKI Jakarta,285000000
Toyota,Fortuner 2.5 G TRD SUV,2014,Bekas,Putih,85 - 90K KM,Automatic,5,7,142,Jawa Barat,291000000
Toyota,Fortuner 2.5 G TRD SUV,2014,Bekas,Putih,105 - 110K KM,Automatic,5,7,142,Jawa Timur,297500000
Honda,Odyssey 2.4 2.4,2014,Bekas,Hitam,50 - 55K KM,Automatic,5,7,177,DKI Jakarta,279000000
Datsun,GO+ 1.2 T MPV,2014,Bekas,Silver,95 - 100K KM,Manual,5,7,1198,Jawa Barat,74000000
Toyota,Avanza 1.3 E MPV,2014,Bekas,Silver,115 - 120K KM,Manual,5,7,1298,DKI Jakarta,108000000
Toyota,Avanza 1.3 G MPV,2014,Bekas,Putih,145 - 150K KM,Manual,5,7,1298,Banten,110000000
Toyota,Avanza 1.3 G MPV,2014,Bekas,Abu-abu,100 - 105K KM,Manual,5,7,1298,DKI Jakarta,124000000
Daihatsu,Xenia 1.3 R STD MPV,2014,Bekas,Hitam,120 - 125K KM,Manual,5,7,1298,Jawa Timur,135000000
Toyota,Avanza 1.3 G MPV,2014,Bekas,Abu-abu,95 - 100K KM,Automatic,5,7,1298,DKI Jakarta,135000000
Daihatsu,Terios 1.5 TX SUV,2014,Bekas,Silver,115 - 120K KM,Manual,5,7,1495,DKI Jakarta,141000000
Toyota,Avanza 1.5 Veloz MPV,2014,Bekas,Putih,75 - 80K KM,Automatic,5,7,1496,Jawa Barat,141000000
Toyota,Avanza 1.5 Veloz MPV,2014,Bekas,Putih,75 - 80K KM,Automatic,5,7,1496,Jawa Barat,141000000
Nissan,Serena 2.0 Highway Star MPV,2014,Bekas,Silver,100 - 105K KM,Automatic,5,7,1997,Jawa Timur,158000000
Nissan,Serena 2.0 Highway Star MPV,2014,Bekas,Silver,100 - 105K KM,Automatic,5,7,1997,Jawa Timur,159000000
Toyota,Alphard 2.4 X X MPV,2014,Bekas,Putih,135 - 140K KM,Automatic,5,7,2362,DKI Jakarta,300000000
Toyota,Alphard 2.4 G G MPV,2014,Bekas,Hitam,60 - 65K KM,Automatic,5,7,2362,DKI Jakarta,399000000
Mitsubishi,Pajero Sport 2.5 Dakar SUV,2014,Bekas,Hitam,60 - 65K KM,Automatic,5,7,2477,DKI Jakarta,290000000
Ford,Everest 2.5 LTD SUV,2014,Bekas,Putih,25 - 30K KM,Automatic,5,7,2499,DKI Jakarta,260000000
Toyota,Agya 1.0 G Hatchback,2014,Bekas,Silver,95 - 100K KM,Manual,5,5,998,Jawa Barat,87000000
Daihatsu,Ayla 1.0 X Hatchback,2014,Bekas,Abu-abu,65 - 70K KM,Automatic,5,5,998,Jawa Tengah,97000000
Toyota,Agya 1.0 G Hatchback,2014,Bekas,Silver,15 - 20K KM,Manual,5,5,998,Jawa Timur,103000000
Suzuki,Splash 1.2 Hatchback,2014,Bekas,Silver,130 - 135K KM,Automatic,5,5,1197,DKI Jakarta,100000000
Honda,Brio 1.2 Satya E Hatchback,2014,Bekas,Merah,40 - 45K KM,Manual,5,5,1198,Jawa Barat,112000000
Honda,Brio 1.2 Satya E Hatchback,2014,Bekas,Merah,40 - 45K KM,Manual,5,5,1198,Jawa Barat,112000000
Honda,Brio 1.2 Satya E Hatchback,2014,Bekas,Merah,40 - 45K KM,Manual,5,5,1198,Jawa Barat,112000000
Honda,Brio 1.2 E Hatchback,2014,Bekas,Abu-abu,85 - 90K KM,Automatic,5,5,1198,Jawa Barat,123000000
Volkswagen,Golf 1.4 TSI Hatchback,2014,Bekas,Putih,20 - 25K KM,Automatic,5,5,1395,Banten,315000000
KIA,Rio 1.4 Hatchback,2014,Bekas,Merah,152000 KM,Automatic,5,5,1396,Jawa Barat,132500000
Toyota,Rush 1.5 TRD Sportivo SUV,2014,Bekas,Silver,75 - 80K KM,Automatic,5,5,1495,Banten,135000000
Toyota,Rush 1.5 TRD Sportivo SUV,2014,Bekas,Silver,120 - 125K KM,Automatic,5,5,1495,Jawa Timur,150000000
Honda,Jazz 1.5 RS Hatchback,2014,Bekas,Silver,25000 KM,Manual,5,5,1496,DKI Jakarta,145000000
Nissan,Livina X-Gear 1.5 X-Gear SUV,2014,Bekas,Silver,105 - 110K KM,Automatic,5,5,1498,Jawa Barat,95000000
Nissan,Livina X-Gear 1.5 X-Gear SUV,2014,Bekas,Merah,100 - 105K KM,Automatic,5,5,1498,DKI Jakarta,107000000
Ford,EcoSport 1.5 Trend SUV,2014,Bekas,Silver,65 - 70K KM,Automatic,5,5,1499,DKI Jakarta,98000000
Ford,EcoSport 1.5 Titanium SUV,2014,Bekas,Hitam,91000 KM,Automatic,5,5,1499,DKI Jakarta,107000000
Mercedes-Benz,A200 1.6 Urban Hatchback,2014,Bekas,Hitam,20 - 25K KM,Automatic,5,5,1595,DKI Jakarta,298000000
Mercedes-Benz,GLA200 1.6 Sport SUV,2014,Bekas,Hitam,30 - 35K KM,Automatic,5,5,1595,DKI Jakarta,440000000
Mercedes-Benz,GLA200 1.6 Sport SUV,2014,Bekas,Putih,40 - 45K KM,Automatic,5,5,1595,DKI Jakarta,440000000
Toyota,Harrier 2.0 SUV,2014,Bekas,Putih,85 - 90K KM,Automatic,5,5,1986,DKI Jakarta,415000000
Mercedes-Benz,E250 2.0 Avantgarde Sedan,2014,Bekas,Putih,35 - 40K KM,Automatic,4,5,1991,DKI Jakarta,435000000
Mercedes-Benz,C200 2.0 Avantgarde Sedan,2014,Bekas,Hitam,15 - 20K KM,Automatic,4,5,1991,Jawa Timur,455000000
Mercedes-Benz,C250 2.0 AMG Sedan,2014,Bekas,Hitam,25 - 30K KM,Automatic,4,5,1991,DKI Jakarta,487000000
BMW,X1 2.0 sDrive18i xLine SUV,2014,Bekas,Coklat,25 - 30K KM,Automatic,5,5,1995,Jawa Timur,265000000
BMW,X1 2.0 sDrive18i xLine SUV,2014,Bekas,Hitam,40 - 45K KM,Automatic,5,5,1995,DKI Jakarta,300000000
BMW,520d 2.0 Modern Sedan,2014,Bekas,Putih,45 - 50K KM,Automatic,4,5,1995,DKI Jakarta,410000000
Honda,CR-V 2.0 2 SUV,2014,Bekas,Putih,105 - 110K KM,Automatic,5,5,1997,Jawa Timur,209000000
BMW,320i 2.0 Sport Sedan,2014,Bekas,Coklat,35 - 40K KM,Automatic,4,5,1997,DKI Jakarta,345000000
BMW,320i 2.0 Sport Sedan,2014,Bekas,Putih,50 - 55K KM,Automatic,4,5,1997,DKI Jakarta,350000000
BMW,320i 2.0 Sport Sedan,2014,Bekas,Abu-abu,30 - 35K KM,Automatic,4,5,1997,DKI Jakarta,375000000
BMW,520i 2.0 Modern Sedan,2014,Bekas,Putih,55 - 60K KM,Automatic,4,5,1997,DKI Jakarta,395000000
BMW,328i 2.0 Sport Sedan,2014,Bekas,Putih,30 - 35K KM,Automatic,4,5,1997,DKI Jakarta,398000000
BMW,320i 2.0 Luxury Sedan,2014,Bekas,Hitam,70 - 75K KM,Automatic,4,5,1997,Jawa Barat,420000000
BMW,528i 2.0 Luxury Sedan,2014,Bekas,Hitam,50 - 55K KM,Automatic,4,5,1997,DKI Jakarta,425000000
BMW,528i 2.0 Luxury Sedan,2014,Bekas,Hitam,20 - 25K KM,Automatic,4,5,1997,DKI Jakarta,448888888
BMW,528i 2.0 Luxury Sedan,2014,Bekas,Hitam,5 - 10K KM,Automatic,4,5,1997,DKI Jakarta,485000000
Mitsubishi,Outlander Sport 2.0 GLS SUV,2014,Bekas,Putih,130 - 135K KM,Automatic,5,5,1998,Jawa Barat,157000000
Honda,CR-V 2.4 2.4 SUV,2014,Bekas,Abu-abu,120 - 125K KM,Automatic,5,5,2354,DKI Jakarta,185000000
Honda,CR-V 2.4 2.4 Prestige SUV,2014,Bekas,Hitam,99000 KM,Automatic,5,5,2354,DKI Jakarta,185000000
Honda,CR-V 2.4 2.4 Prestige SUV,2014,Bekas,Putih,110 - 115K KM,Automatic,5,5,2354,DKI Jakarta,200000000
Honda,Accord 2.4 VTi-L Sedan,2014,Bekas,Putih,95 - 100K KM,Automatic,4,5,2356,Jawa Timur,275000000
Nissan,X-Trail 2.5 X-Tremer SUV,2014,Bekas,Putih,95 - 100K KM,Automatic,5,5,2488,DKI Jakarta,176000000
Mazda,CX-5 2.5 Grand Touring SUV,2014,Bekas,Putih,60 - 65K KM,Automatic,5,5,2488,Jawa Timur,230000000
Nissan,Teana 2.5 XV Sedan,2014,Bekas,Putih,70 - 75K KM,Automatic,4,5,2488,Jawa Timur,299000000
Mercedes-Benz,ML400 3.0 SUV,2014,Bekas,Hitam,35 - 40K KM,Automatic,5,5,2996,DKI Jakarta,525000000
Volkswagen,The Beetle 1.2 TSI Coupe,2014,Bekas,Hitam,50 - 55K KM,Automatic,2,4,1197,DKI Jakarta,439000000
Mitsubishi,Colt T120SS 1.5 Standard Pick-up,2014,Bekas,Hitam,40 - 45K KM,Manual,2,3,1468,Jawa Timur,79000000
Daihatsu,Gran Max 1.3 STD Van,2014,Bekas,Putih,70000 KM,Manual,5,2,1298,Jawa Barat,85000000
Daihatsu,Gran Max 1.3 D Van,2015,Bekas,Putih,60 - 65K KM,Manual,5,8,1298,Jawa Timur,107500000
Toyota,Kijang Innova 2.0 V MPV,2015,Bekas,Hitam,110 - 115K KM,Manual,5,8,1998,DKI Jakarta,192000000
Toyota,Kijang Innova 2.0 V MPV,2015,Bekas,Silver,145 - 150K KM,Manual,5,8,1998,Jawa Timur,205000000
Toyota,Avanza 1.3 G MPV,2015,Bekas,Silver,80 - 85K KM,Manual,5,7,1298,Jawa Timur,134000000
Daihatsu,Xenia 1.3 X X MPV,2015,Bekas,Putih,100 - 105K KM,Manual,5,7,1329,DKI Jakarta,115000000
Suzuki,Ertiga 1.4 GL MPV,2015,Bekas,Silver,75 - 80K KM,Automatic,5,7,1373,DKI Jakarta,119000000
Suzuki,Ertiga 1.4 GL MPV,2015,Bekas,Silver,75 - 80K KM,Automatic,5,7,1373,DKI Jakarta,119000000
Suzuki,Ertiga 1.4 GL MPV,2015,Bekas,Abu-abu,75 - 80K KM,Manual,5,7,1373,DKI Jakarta,125000000
Daihatsu,Terios 1.5 X SUV,2015,Bekas,Silver,110 - 115K KM,Manual,5,7,1495,DKI Jakarta,149000000
Honda,Mobilio 1.5 E MPV,2015,Bekas,Silver,70000 KM,Automatic,5,7,1496,Banten,123500000
Toyota,Avanza 1.5 Veloz MPV,2015,Bekas,Hitam,80 - 85K KM,Automatic,5,7,1496,DKI Jakarta,125000000
Honda,Mobilio 1.5 E MPV,2015,Bekas,Hitam,95 - 100K KM,Automatic,5,7,1496,Jawa Timur,138000000
Honda,Mobilio 1.5 RS MPV,2015,Bekas,Putih,65 - 70K KM,Automatic,5,7,1496,DKI Jakarta,148000000
Honda,Mobilio 1.5 RS MPV,2015,Bekas,Abu-abu,85 - 90K KM,Automatic,5,7,1496,Jawa Timur,162500000
Nissan,Grand Livina 1.5 SV MPV,2015,Bekas,Silver,105 - 110K KM,Manual,5,7,1498,DKI Jakarta,99000000
Nissan,Grand Livina 1.5 SV MPV,2015,Bekas,Silver,105 - 110K KM,Automatic,5,7,1498,DKI Jakarta,111000000
Nissan,Serena 2.0 Highway Star MPV,2015,Bekas,Hitam,89000 KM,Automatic,5,7,1997,DKI Jakarta,169000000
Toyota,Kijang Innova 2.0 G Luxury MPV,2015,Bekas,Hitam,110 - 115K KM,Automatic,5,7,1998,DKI Jakarta,185000000
Mitsubishi,Pajero Sport 2.5 Exceed SUV,2015,Bekas,Abu-abu,195 - 200K KM,Automatic,5,7,2477,Jawa Barat,265000000
Nissan,X-Trail 2.5 SUV,2015,Bekas,Silver,115 - 120K KM,Automatic,5,7,2488,DKI Jakarta,170000000
Nissan,X-Trail 2.5 SUV,2015,Bekas,Abu-abu,85 - 90K KM,Automatic,5,7,2488,DKI Jakarta,179000000
Nissan,X-Trail 2.5 SUV,2015,Bekas,Putih,75 - 80K KM,Automatic,5,7,2488,DKI Jakarta,183000000
